gene,ensembl,source,annotation_breast,annotation_io,programs,cell_lineages,program_states,marker_states,top_major,top3_majors,n_programs,pct_expressing,mean_lognorm,mean_counts,top_compartment,mean_Cancer,mean_Epithelial,mean_Immune,mean_Stroma
LPL,ENSG00000175445,Breast,Adipocytes,,CAF/Adipo:adipocyte,CAF/Adipo,adipocyte,adipocyte,Adipocyte,"Adipocyte(1.279), Endothelial(0.472), Macrophage_Mono(0.417)",1,5.6,0.235,0.102,Stroma,0.174,0.129,0.159,0.419
LPXN,ENSG00000110031,Breast,Macrophages,,,,,,B_cell,"B_cell(1.793), T_NK(1.7), Dendritic(1.646)",0,24.8,1.059,0.377,Immune,0.623,0.606,1.649,0.415
LRRC15,ENSG00000172061,Breast,Breast cancer,,CAF/Adipo:myCAF,CAF/Adipo,myCAF,myCAF,CAF_Fibroblast,"CAF_Fibroblast(0.57), Adipocyte(0.408), Macrophage_Mono(0.17)",1,4.6,0.189,0.069,Stroma,0.072,0.083,0.13,0.386
LTB,ENSG00000227507,Breast+IO,T cells,TNF Superfamily,,,,,B_cell,"B_cell(1.847), T_NK(1.232), Plasma(0.985)",0,12.9,0.597,0.187,Immune,0.072,0.077,1.097,0.159
LUM,ENSG00000139329,Breast+IO,Fibroblasts,Fibroblast,CAF/Adipo:pan_CAF,CAF/Adipo,pan_CAF,,Adipocyte,"Adipocyte(4.554), CAF_Fibroblast(4.542), Mast(2.819)",1,44.1,2.327,2.32,Stroma,0.806,0.807,2.265,3.653
LY6E,ENSG00000160932,IO,,,,,,,Myoepithelial,"Myoepithelial(3.083), Tumor(3.063), Macrophage_Mono(1.703)",0,38.5,1.707,1.409,Epithelial,3.063,3.083,1.291,1.417
LY86,ENSG00000112799,Breast,Macrophages,,,,,,B_cell,"B_cell(0.616), Macrophage_Mono(0.594), Dendritic(0.451)",0,5.4,0.221,0.061,Immune,0.081,0.078,0.366,0.086
LYPD3,ENSG00000124466,Breast,Breast glandular cells,,,,,,Tumor,"Tumor(1.469), Myoepithelial(1.443), T_NK(0.188)",0,11.8,0.433,0.232,Cancer,1.469,1.443,0.157,0.122
LYZ,ENSG00000090382,Breast,Macrophages,,Myeloid/DC:core_macrophage,Myeloid/DC,core_macrophage,,Dendritic,"Dendritic(5.058), Macrophage_Mono(4.768), T_NK(2.729)",1,41.2,2.119,2.269,Immune,0.994,0.853,3.032,1.477
MAP3K8,ENSG00000107968,Breast,Macrophages,,,,,,Tumor,"Tumor(1.412), Myoepithelial(1.389), Macrophage_Mono(1.251)",0,24.2,0.979,0.446,Cancer,1.412,1.389,0.854,0.884
MARCO,ENSG00000019169,IO,,Macrophage,Myeloid/DC:macrophage_M2,Myeloid/DC,macrophage_M2,macrophage_M2,Macrophage_Mono,"Macrophage_Mono(0.514), Dendritic(0.083), Tumor(0.064)",1,2.1,0.084,0.037,Immune,0.064,0.049,0.119,0.042
MDM2,ENSG00000135679,Breast,Breast cancer,,,,,,Myoepithelial,"Myoepithelial(3.146), Tumor(3.01), Plasma(1.853)",0,41.8,1.815,1.091,Epithelial,3.01,3.146,1.48,1.509
MKI67,ENSG00000148773,Breast+IO,Breast cancer,B Cell;Proliferation,Tumor:proliferating; T/NK:proliferating; Endothelial:proliferating; Myeloid/DC:proliferating; B/Plasma:proliferating; CAF/Adipo:proliferating; Mast:proliferating,B/Plasma; CAF/Adipo; Endothelial; Mast; Myeloid/DC; T/NK; Tumor,proliferating,proliferating; Proliferating,Myoepithelial,"Myoepithelial(0.641), Tumor(0.595), Macrophage_Mono(0.248)",7,6.2,0.23,0.121,Epithelial,0.595,0.641,0.156,0.079
MLPH,ENSG00000115648,Breast,Breast glandular cells,,Tumor:luminal_mature; Tumor:cancer_specific,Tumor,cancer_specific; luminal_mature,,Myoepithelial,"Myoepithelial(3.082), Tumor(3.065), Mast(0.649)",2,17.8,0.785,1.059,Epithelial,3.065,3.082,0.125,0.185
MMP1,ENSG00000196611,Breast,Fibroblasts,,,,,,Tumor,"Tumor(0.134), Macrophage_Mono(0.115), Myoepithelial(0.108)",0,2.0,0.078,0.051,Cancer,0.134,0.108,0.057,0.075
MMP12,ENSG00000262406,Breast+IO,Fibroblasts,Dendritic Cell;Myeloid,,,,,Macrophage_Mono,"Macrophage_Mono(0.481), Tumor(0.219), Dendritic(0.189)",0,3.5,0.145,0.114,Cancer,0.219,0.146,0.155,0.076
MMP2,ENSG00000087245,Breast,Fibroblasts,,CAF/Adipo:matrix_remodel,CAF/Adipo,matrix_remodel,matrix_remodel,Adipocyte,"Adipocyte(3.291), CAF_Fibroblast(2.865), Endothelial(1.496)",1,26.7,1.258,0.763,Stroma,0.444,0.555,0.992,2.358
MMRN2,ENSG00000173269,Breast,Adipocytes,,,,,,Endothelial,"Endothelial(2.181), Pericyte(1.484), Myoepithelial(0.229)",0,8.2,0.358,0.15,Stroma,0.18,0.229,0.129,0.889
MNDA,ENSG00000163563,Breast,Macrophages,,Myeloid/DC:monocyte,Myeloid/DC,monocyte,monocyte,Dendritic,"Dendritic(1.643), Macrophage_Mono(1.503), Pericyte(0.481)",1,11.4,0.49,0.186,Immune,0.216,0.18,0.714,0.329
MRC1,ENSG00000260314,Breast,Macrophages,,Myeloid/DC:macrophage_M2,Myeloid/DC,macrophage_M2,macrophage_M2,Macrophage_Mono,"Macrophage_Mono(2.406), Dendritic(1.828), Mast(0.526)",1,12.5,0.574,0.274,Immune,0.123,0.141,0.868,0.427
MS4A1,ENSG00000156738,Breast+IO,B cells,B Cell;Lineage Marker;Proliferation,B/Plasma:pan_B,B/Plasma,pan_B,,B_cell,"B_cell(4.71), Plasma(2.156), T_NK(0.692)",1,15.0,0.811,0.558,Immune,0.078,0.062,1.527,0.17
MUC6,ENSG00000184956,Breast,Epithelial cells,,,,,,Tumor,"Tumor(1.363), Myoepithelial(1.248), Macrophage_Mono(0.184)",0,8.7,0.398,0.84,Cancer,1.363,1.248,0.127,0.137
MX1,ENSG00000157601,IO,,,Myeloid/DC:ifn_response; Mast:ifn_response,Mast; Myeloid/DC,ifn_response,ifn_response,Macrophage_Mono,"Macrophage_Mono(1.809), Tumor(1.7), Myoepithelial(1.674)",2,29.6,1.302,0.933,Cancer,1.7,1.674,1.393,0.878
MYBPC1,ENSG00000196091,Breast,Epithelial cells,,,,,,Myoepithelial,"Myoepithelial(0.361), Tumor(0.245), B_cell(0.066)",0,2.5,0.092,0.043,Epithelial,0.245,0.361,0.054,0.035
MYH11,ENSG00000133392,Breast,Smooth muscle cells,,Tumor:myoepithelial; Endothelial:pericyte_mural; CAF/Adipo:myCAF; CAF/Adipo:pericyte_mural,CAF/Adipo; Endothelial; Tumor,myCAF; myoepithelial; pericyte_mural,myoepithelial; myCAF; Pericyte/mural,Myoepithelial,"Myoepithelial(2.139), Endothelial(1.266), Pericyte(1.259)",4,12.4,0.564,0.414,Epithelial,1.184,2.139,0.192,0.687
MYLK,ENSG00000065534,Breast,Breast myoepithelial cells,,Tumor:myoepithelial; CAF/Adipo:myCAF; CAF/Adipo:pericyte_mural,CAF/Adipo; Tumor,myCAF; myoepithelial; pericyte_mural,myoepithelial; myCAF; Pericyte/mural,Myoepithelial,"Myoepithelial(3.478), Endothelial(2.944), Pericyte(2.671)",3,29.3,1.389,1.307,Epithelial,2.387,3.478,0.645,1.869
MYO5B,ENSG00000167306,Breast,Breast glandular cells,,,,,,Myoepithelial,"Myoepithelial(2.309), Tumor(2.255), Plasma(0.345)",0,17.8,0.691,0.436,Epithelial,2.255,2.309,0.274,0.218
MZB1,ENSG00000170476,Breast+IO,B cells,Plasma Cell;Plasmablast,B/Plasma:plasma,B/Plasma,plasma,plasma,Plasma,"Plasma(3.149), B_cell(0.874), Myoepithelial(0.533)",1,10.9,0.464,0.277,Immune,0.475,0.533,0.641,0.165
NARS,ENSG00000134440,Breast,Breast myoepithelial cells,,,,,,Myoepithelial,"Myoepithelial(3.004), Tumor(2.798), Macrophage_Mono(1.607)",0,36.6,1.548,0.863,Epithelial,2.798,3.004,1.231,1.158
NCAM1,ENSG00000149294,Breast+IO,NK cells,,T/NK:nk_like,T/NK,nk_like,nk_like,Myoepithelial,"Myoepithelial(0.183), Tumor(0.157), T_NK(0.092)",1,2.2,0.084,0.032,Epithelial,0.157,0.183,0.066,0.059
NDUFA4L2,ENSG00000185633,Breast,Adipocytes,,,,,,Endothelial,"Endothelial(0.289), Pericyte(0.203), Tumor(0.099)",0,2.2,0.08,0.025,Stroma,0.099,0.099,0.041,0.134
NKG7,ENSG00000105374,Breast+IO,NK cells,Natural Killer Cell,T/NK:cytotoxic_effector,T/NK,cytotoxic_effector,cytotoxic_effector,T_NK,"T_NK(0.776), Dendritic(0.21), Macrophage_Mono(0.195)",1,5.6,0.248,0.082,Immune,0.067,0.065,0.427,0.088
NOSTRIN,ENSG00000163072,Breast,Adipocytes,,,,,,Endothelial,"Endothelial(1.427), Myoepithelial(1.054), Tumor(0.979)",0,11.5,0.436,0.203,Epithelial,0.979,1.054,0.105,0.591
OCIAD2,ENSG00000145247,Breast,Breast glandular cells,,,,,,Myoepithelial,"Myoepithelial(2.005), Tumor(1.902), T_NK(0.678)",0,19.7,0.771,0.404,Epithelial,1.902,2.005,0.547,0.302
OPRPN,ENSG00000171199,Breast,Breast glandular cells,,,,,,Tumor,"Tumor(0.157), Myoepithelial(0.091), Adipocyte(0.03)",0,1.4,0.054,0.043,Cancer,0.157,0.091,0.027,0.026
OXTR,ENSG00000180914,Breast,Breast myoepithelial cells,,Tumor:myoepithelial,Tumor,myoepithelial,myoepithelial,Myoepithelial,"Myoepithelial(3.421), Tumor(0.245), Endothelial(0.152)",1,4.2,0.149,0.065,Epithelial,0.245,3.421,0.043,0.096
PCLAF,ENSG00000166803,Breast,Breast cancer,,,,,,Myoepithelial,"Myoepithelial(0.751), Tumor(0.577), B_cell(0.176)",0,6.2,0.221,0.107,Epithelial,0.577,0.751,0.141,0.083
PDCD1,ENSG00000188389,Breast+IO,T cells,T Cell;Exhausted,T/NK:exhausted,T/NK,exhausted,exhausted,T_NK,"T_NK(0.078), B_cell(0.029), Plasma(0.022)",1,0.7,0.03,0.008,Immune,0.017,0.014,0.047,0.011
PDCD1LG2,ENSG00000197646,Breast+IO,Adipocytes,Immune Checkpoint,,,,,Macrophage_Mono,"Macrophage_Mono(0.52), Dendritic(0.359), T_NK(0.236)",0,5.0,0.201,0.06,Immune,0.089,0.106,0.275,0.163
PDE4A,ENSG00000065989,Breast,Adipocytes,,,,,,Dendritic,"Dendritic(0.74), Macrophage_Mono(0.675), Mast(0.444)",0,9.5,0.377,0.119,Immune,0.289,0.247,0.431,0.362
PDGFRA,ENSG00000134853,Breast+IO,Fibroblasts,Stromal Cell,CAF/Adipo:pan_CAF; CAF/Adipo:preadipo,CAF/Adipo,pan_CAF; preadipo,preadipo,Adipocyte,"Adipocyte(2.084), CAF_Fibroblast(1.825), Mast(0.669)",2,17.1,0.753,0.349,Stroma,0.554,0.64,0.506,1.34
PDGFRB,ENSG00000113721,Breast,Smooth muscle cells,,Endothelial:pericyte_mural; CAF/Adipo:pan_CAF; CAF/Adipo:pericyte_mural,CAF/Adipo; Endothelial,pan_CAF; pericyte_mural,Pericyte/mural,Adipocyte,"Adipocyte(2.51), Endothelial(2.393), Pericyte(2.391)",3,21.5,1.0,0.535,Stroma,0.326,0.36,0.559,2.288
PDK4,ENSG00000004799,Breast,Smooth muscle cells,,,,,,Endothelial,"Endothelial(1.032), Pericyte(0.924), Adipocyte(0.899)",0,11.5,0.472,0.192,Stroma,0.52,0.49,0.323,0.7
PECAM1,ENSG00000261371,Breast,Endothelial cells,,Endothelial:pan_endothelial,Endothelial,pan_endothelial,,Endothelial,"Endothelial(4.715), Pericyte(2.772), Macrophage_Mono(2.343)",1,30.8,1.461,0.937,Stroma,0.633,0.532,1.454,2.141
PELI1,ENSG00000197329,Breast,B cells,,,,,,Myoepithelial,"Myoepithelial(1.372), Tumor(1.185), Endothelial(1.176)",0,20.1,0.789,0.304,Epithelial,1.185,1.372,0.668,0.698
PGR,ENSG00000082175,Breast,Breast cancer,,Tumor:luminal_mature,Tumor,luminal_mature,,Myoepithelial,"Myoepithelial(0.533), Tumor(0.399), Adipocyte(0.258)",1,4.8,0.183,0.072,Epithelial,0.399,0.533,0.074,0.202
PIGR,ENSG00000162896,Breast,Breast glandular cells,,,,,,Tumor,"Tumor(1.037), Myoepithelial(0.871), Macrophage_Mono(0.141)",0,6.9,0.291,0.393,Cancer,1.037,0.871,0.094,0.069
PIM1,ENSG00000137193,Breast,Fibroblasts,,,,,,Adipocyte,"Adipocyte(1.521), T_NK(1.321), CAF_Fibroblast(1.245)",0,21.5,0.931,0.363,Stroma,0.43,0.433,1.059,1.118
PLA2G7,ENSG00000146070,IO,,Dendritic Cell,,,,,Macrophage_Mono,"Macrophage_Mono(1.635), Dendritic(0.67), T_NK(0.275)",0,8.2,0.343,0.157,Immune,0.25,0.229,0.506,0.146
PLD4,ENSG00000166428,Breast+IO,Macrophages,Dendritic Cell;Lineage Marker,Myeloid/DC:pDC,Myeloid/DC,pDC,pDC,Dendritic,"Dendritic(0.87), B_cell(0.347), Macrophage_Mono(0.32)",1,4.4,0.181,0.056,Immune,0.093,0.087,0.289,0.068
POSTN,ENSG00000133110,Breast,Fibroblasts,,Tumor:emt; CAF/Adipo:myCAF; CAF/Adipo:matrix_remodel,CAF/Adipo; Tumor,emt; matrix_remodel; myCAF,emt; matrix_remodel; myCAF,CAF_Fibroblast,"CAF_Fibroblast(2.993), Adipocyte(2.652), Endothelial(1.841)",3,29.4,1.506,1.917,Stroma,1.021,1.467,1.148,2.496
PPARG,ENSG00000132170,Breast,Macrophages,,CAF/Adipo:adipocyte,CAF/Adipo,adipocyte,adipocyte,Adipocyte,"Adipocyte(1.187), Endothelial(1.163), Pericyte(0.829)",1,10.3,0.415,0.147,Stroma,0.378,0.375,0.276,0.689
PRDM1,ENSG00000057657,Breast,T cells,,B/Plasma:plasma,B/Plasma,plasma,plasma,Plasma,"Plasma(2.077), T_NK(1.377), Endothelial(0.931)",1,18.1,0.795,0.302,Immune,0.276,0.297,1.112,0.667
PRF1,ENSG00000180644,Breast+IO,NK cells,T cell;EMRA,T/NK:cytotoxic_effector,T/NK,cytotoxic_effector,cytotoxic_effector,T_NK,"T_NK(0.867), Dendritic(0.181), Macrophage_Mono(0.162)",1,6.1,0.267,0.089,Immune,0.078,0.09,0.454,0.099
PTGDS,ENSG00000107317,Breast,Breast cancer,,,,,,B_cell,"B_cell(2.177), Dendritic(2.095), T_NK(1.756)",0,25.7,1.271,0.744,Immune,0.139,0.146,1.768,1.316
PTN,ENSG00000105894,Breast,Breast myoepithelial cells,,,,,,Myoepithelial,"Myoepithelial(1.874), Tumor(1.569), Adipocyte(0.581)",0,14.0,0.6,0.5,Epithelial,1.569,1.874,0.209,0.524
PTPRC,ENSG00000081237,Breast+IO,Immune cells,,,,,,T_NK,"T_NK(5.094), B_cell(4.357), Dendritic(4.144)",0,49.6,2.601,1.739,Immune,0.695,0.625,4.406,1.044
PTRHD1,ENSG00000184924,Breast,Breast glandular cells,,,,,,Myoepithelial,"Myoepithelial(0.933), Tumor(0.885), Dendritic(0.435)",0,11.4,0.412,0.153,Epithelial,0.885,0.933,0.313,0.226
QARS,ENSG00000172053,Breast,Breast glandular cells,,,,,,Myoepithelial,"Myoepithelial(2.373), Tumor(2.174), Endothelial(1.219)",0,30.5,1.23,0.545,Epithelial,2.174,2.373,1.005,0.911
RAB30,ENSG00000137502,Breast,B cells,,,,,,Plasma,"Plasma(1.812), B_cell(1.197), Myoepithelial(0.962)",0,16.2,0.64,0.238,Epithelial,0.804,0.962,0.703,0.413
RAMP2,ENSG00000131477,Breast,Adipocytes,,Endothelial:capillary,Endothelial,capillary,Capillary,Endothelial,"Endothelial(2.263), Pericyte(1.343), Adipocyte(0.295)",1,9.1,0.399,0.171,Stroma,0.166,0.234,0.172,0.966
RAPGEF3,ENSG00000079337,Breast,Adipocytes,,,,,,Endothelial,"Endothelial(1.129), Pericyte(0.656), Myoepithelial(0.329)",0,6.0,0.234,0.085,Stroma,0.277,0.329,0.08,0.468
RGS1,ENSG00000090104,IO,,,,,,,T_NK,"T_NK(2.41), Macrophage_Mono(2.344), Dendritic(1.854)",0,27.2,1.29,0.803,Immune,0.775,0.661,1.989,0.524
RHOH,ENSG00000168421,Breast,T cells,,,,,,B_cell,"B_cell(1.315), Plasma(1.08), T_NK(1.039)",0,15.8,0.643,0.237,Epithelial,0.782,0.895,0.894,0.122
RORC,ENSG00000143365,Breast+IO,T cells,,T/NK:th17,T/NK,th17,th17,Tumor,"Tumor(0.932), Myoepithelial(0.914), T_NK(0.138)",1,7.6,0.261,0.123,Cancer,0.932,0.914,0.091,0.045
RTKN2,ENSG00000182010,Breast,T cells,,,,,,Myoepithelial,"Myoepithelial(0.919), Tumor(0.822), T_NK(0.586)",0,11.0,0.42,0.186,Epithelial,0.822,0.919,0.377,0.189
RUNX1,ENSG00000159216,Breast,Breast cancer,,,,,,Myoepithelial,"Myoepithelial(3.648), Tumor(3.333), Macrophage_Mono(2.379)",0,45.0,2.034,1.351,Epithelial,3.333,3.648,1.581,1.847
S100A14,ENSG00000189334,Breast,Breast glandular cells,,,,,,Tumor,"Tumor(2.911), Myoepithelial(2.893), Macrophage_Mono(0.271)",0,17.4,0.76,0.897,Cancer,2.911,2.893,0.157,0.162
S100A4,ENSG00000196154,Breast,Breast cancer,,Tumor:emt; Endothelial:endmt; CAF/Adipo:emt,CAF/Adipo; Endothelial; Tumor,emt; endmt,emt; EndMT,Pericyte,"Pericyte(1.945), T_NK(1.475), Macrophage_Mono(1.356)",3,21.9,0.946,0.329,Immune,0.449,0.014,1.206,0.927
S100A8,ENSG00000143546,Breast,Monocytes,,Myeloid/DC:monocyte,Myeloid/DC,monocyte,monocyte,Tumor,"Tumor(1.517), Myoepithelial(1.014), Macrophage_Mono(0.554)",1,10.9,0.491,0.983,Cancer,1.517,1.014,0.191,0.249
SCD,ENSG00000099194,Breast,Breast cancer,,,,,,Tumor,"Tumor(3.188), Myoepithelial(2.973), Macrophage_Mono(1.227)",0,23.1,1.046,1.533,Cancer,3.188,2.973,0.477,0.41
SCGB2A1,ENSG00000124939,Breast,Breast glandular cells,,,,,,Myoepithelial,"Myoepithelial(0.563), Tumor(0.481), Macrophage_Mono(0.049)",0,3.8,0.136,0.078,Epithelial,0.481,0.563,0.039,0.036
SDC4,ENSG00000124145,Breast,Breast glandular cells,,,,,,Myoepithelial,"Myoepithelial(2.919), Tumor(2.742), Adipocyte(0.818)",0,22.3,0.904,0.641,Epithelial,2.742,2.919,0.331,0.488
SEC11C,ENSG00000166562,Breast,B cells,,,,,,Plasma,"Plasma(3.047), Myoepithelial(2.043), Tumor(1.966)",0,26.6,1.093,0.565,Epithelial,1.966,2.043,1.077,0.475
SEC24A,ENSG00000113615,Breast,Macrophages,,,,,,Myoepithelial,"Myoepithelial(1.745), Tumor(1.654), Plasma(1.651)",0,22.6,0.876,0.386,Epithelial,1.654,1.745,0.667,0.654
SELL,ENSG00000188404,Breast+IO,T cells,B Cell,T/NK:naive_memory; B/Plasma:naive_B,B/Plasma; T/NK,naive_B; naive_memory,naive_memory; naive_B,B_cell,"B_cell(2.779), T_NK(2.311), Dendritic(1.606)",2,24.0,1.148,0.454,Immune,0.211,0.211,1.995,0.448
SERHL2,ENSG00000183569,Breast,Breast glandular cells,,,,,,Myoepithelial,"Myoepithelial(2.003), Tumor(2.002), Macrophage_Mono(0.183)",0,12.8,0.547,0.922,Epithelial,2.002,2.003,0.135,0.15
SERPINA3,ENSG00000196136,Breast,Breast glandular cells,,,,,,Tumor,"Tumor(3.205), Myoepithelial(2.903), Endothelial(0.787)",0,21.5,1.011,1.572,Cancer,3.205,2.903,0.286,0.609
SERPINB9,ENSG00000170542,Breast,Macrophages,,,,,,Dendritic,"Dendritic(1.606), Macrophage_Mono(1.416), B_cell(1.403)",0,22.4,0.976,0.37,Immune,0.4,0.351,1.385,0.745
SFRP1,ENSG00000104332,Breast,Breast cancer,,Tumor:luminal_progenitor,Tumor,luminal_progenitor,,Myoepithelial,"Myoepithelial(2.14), Tumor(1.687), Adipocyte(1.518)",1,17.8,0.803,0.585,Epithelial,1.687,2.14,0.358,0.882
SFRP4,ENSG00000106483,Breast,Fibroblasts,,,,,,Adipocyte,"Adipocyte(2.814), CAF_Fibroblast(2.678), Mast(1.633)",0,23.2,1.191,1.234,Stroma,0.28,0.282,1.11,2.046
SH3YL1,ENSG00000035115,Breast,Breast glandular cells,,,,,,Myoepithelial,"Myoepithelial(1.843), Tumor(1.69), B_cell(0.522)",0,18.3,0.696,0.306,Epithelial,1.69,1.843,0.448,0.37
SLAMF1,ENSG00000117090,Breast,B cells,,,,,,T_NK,"T_NK(1.034), Plasma(0.966), B_cell(0.76)",0,10.4,0.447,0.142,Immune,0.155,0.16,0.747,0.168
SLAMF7,ENSG00000026751,Breast,B cells,,B/Plasma:plasma,B/Plasma,plasma,plasma,Plasma,"Plasma(2.922), Dendritic(1.455), Macrophage_Mono(1.153)",1,14.5,0.648,0.308,Immune,0.215,0.155,1.107,0.217
SLC1A3,ENSG00000079215,IO,,Dendritic Cell,,,,,Macrophage_Mono,"Macrophage_Mono(1.1), Dendritic(0.47), Adipocyte(0.374)",0,6.3,0.255,0.09,Immune,0.169,0.183,0.345,0.172
SLC25A37,ENSG00000147454,Breast,Breast glandular cells,,,,,,Tumor,"Tumor(1.153), Myoepithelial(1.152), Endothelial(0.6)",0,13.7,0.517,0.22,Cancer,1.153,1.152,0.281,0.444
SLC5A6,ENSG00000138074,Breast,Breast glandular cells,,,,,,Myoepithelial,"Myoepithelial(2.533), Tumor(2.462), Adipocyte(0.447)",0,19.8,0.801,0.624,Epithelial,2.462,2.533,0.33,0.351
SMAP2,ENSG00000084070,Breast,T cells,,,,,,B_cell,"B_cell(3.045), Plasma(2.452), T_NK(2.357)",0,38.4,1.69,0.714,Immune,1.401,1.504,2.378,0.773
SMS,ENSG00000102172,Breast,Breast glandular cells,,,,,,Myoepithelial,"Myoepithelial(3.407), Tumor(3.373), Macrophage_Mono(1.725)",0,34.8,1.524,1.223,Epithelial,3.373,3.407,1.128,0.816
SNAI1,ENSG00000124216,Breast,Breast cancer,,Tumor:emt; Endothelial:endmt; CAF/Adipo:emt,CAF/Adipo; Endothelial; Tumor,emt; endmt,emt; EndMT,Endothelial,"Endothelial(0.581), CAF_Fibroblast(0.193), Tumor(0.167)",3,4.2,0.161,0.055,Stroma,0.167,0.003,0.082,0.302
SOCS3,ENSG00000184557,IO,,Cytokine Signalling,,,,,Endothelial,"Endothelial(3.41), Pericyte(2.885), Adipocyte(1.941)",0,32.1,1.471,0.833,Stroma,1.045,1.157,1.216,2.254
SOX17,ENSG00000164736,Breast+IO,Endothelial cells,,Endothelial:arterial,Endothelial,arterial,Arterial,Endothelial,"Endothelial(0.993), Myoepithelial(0.12), Tumor(0.114)",1,4.2,0.171,0.064,Stroma,0.114,0.12,0.071,0.387
SOX18,ENSG00000203883,Breast,Adipocytes,,,,,,Endothelial,"Endothelial(0.605), Pericyte(0.292), Myoepithelial(0.076)",0,2.6,0.102,0.032,Stroma,0.068,0.076,0.037,0.238
SOX9,ENSG00000125398,IO,,Tumor,,,,,Myoepithelial,"Myoepithelial(4.206), Tumor(4.082), Adipocyte(0.515)",0,23.7,1.111,1.606,Epithelial,4.082,4.206,0.234,0.356
SPIB,ENSG00000269404,Breast+IO,Dendritic cells,Dendritic Cell;Plasmacytoid,Myeloid/DC:pDC,Myeloid/DC,pDC,pDC,B_cell,"B_cell(1.332), Dendritic(0.842), Plasma(0.707)",1,7.9,0.35,0.113,Immune,0.095,0.095,0.608,0.113
SQLE,ENSG00000104549,Breast,Breast glandular cells,,,,,,Myoepithelial,"Myoepithelial(2.329), Tumor(2.203), Endothelial(0.511)",0,19.3,0.773,0.581,Epithelial,2.203,2.329,0.343,0.425
SRPK1,ENSG00000096063,Breast,Breast glandular cells,,,,,,Myoepithelial,"Myoepithelial(2.391), Tumor(2.244), Endothelial(0.717)",0,23.0,0.917,0.533,Epithelial,2.244,2.391,0.587,0.48
SSTR2,ENSG00000180616,Breast,Smooth muscle cells,,,,,,Endothelial,"Endothelial(0.309), Pericyte(0.307), Myoepithelial(0.145)",0,2.7,0.101,0.034,Stroma,0.124,0.145,0.057,0.16
STAT1,ENSG00000115415,IO,,Immune Signalling;Macrophage;Th1;T Cell,Myeloid/DC:ifn_response; Mast:ifn_response,Mast; Myeloid/DC,ifn_response,ifn_response,Myoepithelial,"Myoepithelial(2.949), Tumor(2.854), Macrophage_Mono(2.853)",2,48.4,2.234,1.609,Epithelial,2.854,2.949,2.376,1.57
STAT2,ENSG00000170581,IO,,Immune Signalling,,,,,Myoepithelial,"Myoepithelial(2.047), Tumor(1.892), Macrophage_Mono(1.708)",0,34.1,1.405,0.628,Epithelial,1.892,2.047,1.262,1.302
STAT4,ENSG00000138378,IO,,T Cell;Natural Killer Cell,,,,,T_NK,"T_NK(1.81), Macrophage_Mono(0.586), Dendritic(0.586)",0,15.0,0.654,0.226,Immune,0.28,0.285,1.04,0.296
STAT6,ENSG00000166888,IO,,Immune Signalling;T Cell,,,,,Myoepithelial,"Myoepithelial(1.743), Tumor(1.641), B_cell(1.562)",0,31.3,1.288,0.51,Epithelial,1.641,1.743,1.269,1.076
STC1,ENSG00000159167,Breast,Endothelial cells,,,,,,Endothelial,"Endothelial(0.763), Myoepithelial(0.543), Tumor(0.486)",0,5.8,0.226,0.136,Epithelial,0.486,0.543,0.057,0.315
SVIL,ENSG00000197321,Breast,Breast glandular cells,,,,,,Myoepithelial,"Myoepithelial(2.099), Tumor(1.865), Endothelial(1.558)",0,27.2,1.115,0.53,Epithelial,1.865,2.099,0.631,1.379
TAC1,ENSG00000006128,Breast,Fibroblasts,,,,,,Adipocyte,"Adipocyte(0.385), CAF_Fibroblast(0.34), Mast(0.146)",0,3.1,0.132,0.059,Stroma,0.086,0.09,0.089,0.244
TACSTD2,ENSG00000184292,Breast,Breast cancer,,Tumor:pan_epithelial,Tumor,pan_epithelial,,Myoepithelial,"Myoepithelial(5.708), Tumor(5.621), Macrophage_Mono(0.836)",1,30.8,1.668,4.608,Epithelial,5.621,5.708,0.479,0.705
TBX21,ENSG00000073861,IO,,T Cell;Th1,T/NK:th1; B/Plasma:atypical_B,B/Plasma; T/NK,atypical_B; th1,th1; atypical_B,T_NK,"T_NK(0.278), B_cell(0.172), Dendritic(0.068)",2,2.6,0.107,0.029,Immune,0.05,0.05,0.172,0.042
TCEAL7,ENSG00000182916,Breast,Fibroblasts,,,,,,Adipocyte,"Adipocyte(0.233), Myoepithelial(0.203), CAF_Fibroblast(0.169)",0,2.8,0.107,0.031,Epithelial,0.127,0.203,0.067,0.159
TCF4,ENSG00000196628,Breast,Breast cancer,,Myeloid/DC:pDC,Myeloid/DC,pDC,pDC,Endothelial,"Endothelial(2.186), Pericyte(1.527), Adipocyte(1.257)",1,20.0,0.864,0.309,Stroma,0.237,0.231,0.792,1.484
TCF7,ENSG00000081059,Breast+IO,T cells,T Cell;CD4+;Naive,T/NK:naive_memory,T/NK,naive_memory,naive_memory,T_NK,"T_NK(1.666), B_cell(0.705), Myoepithelial(0.498)",1,13.8,0.607,0.193,Immune,0.395,0.498,0.964,0.171
TCIM,ENSG00000176907,Breast,Breast glandular cells,,,,,,Myoepithelial,"Myoepithelial(1.916), Endothelial(1.901), Tumor(1.671)",0,22.4,0.971,0.694,Epithelial,1.671,1.916,0.462,1.312
